row_index,column,original_value,injected_value,error_type,error_family,noise_level
461,Fare,8.05,8.0S5,typo_letter_inside_number,typos,medium
544,Fare,106.425,106.42€5,typo_letter_inside_number,typos,medium
200,Fare,5914.45,59B14.45,typo_letter_inside_number,typos,medium
682,Fare,9.225,9.225B,typo_unit_suffix_injected,typos,medium
397,Fare,26.0,26j.0,typo_letter_inside_number,typos,medium
246,Fare,7.775,7.775O,typo_zero_as_letter_O,typos,medium
869,Fare,11.1333,11.1333kg,typo_unit_suffix_injected,typos,medium
99,Fare,26.0,26B.0,typo_letter_inside_number,typos,medium
668,Fare,8.05,8.O5,typo_zero_as_letter_O,typos,medium
496,Fare,78.2667,7l8.2667,typo_letter_inside_number,typos,medium
93,Fare,20.575,20.575l,typo_unit_suffix_injected,typos,medium
528,Fare,7.925,7.925€,typo_unit_suffix_injected,typos,medium
366,Fare,75.25,7j5.25,typo_letter_inside_number,typos,medium
753,Fare,7.8958,7.8958j,typo_unit_suffix_injected,typos,medium
726,Fare,21.0,21.O,typo_zero_as_letter_O,typos,medium
209,Fare,31.0,31€.0,typo_letter_inside_number,typos,medium
117,Fare,21.0,21.0O,typo_unit_suffix_injected,typos,medium
661,Fare,7.225,7j.225,typo_letter_inside_number,typos,medium
567,Fare,21.075,2j1.075,typo_letter_inside_number,typos,medium
252,Fare,26.55,26.55kg,typo_unit_suffix_injected,typos,medium
572,Fare,26.3875,26.3875€,typo_unit_suffix_injected,typos,medium
258,Fare,512.3292,512.32kg92,typo_letter_inside_number,typos,medium
662,Fare,25.5875,2j5.5875,typo_letter_inside_number,typos,medium
417,Fare,13.0,13l.0,typo_letter_inside_number,typos,medium
789,Fare,79.2,79.2O,typo_zero_as_letter_O,typos,medium
236,Fare,26.0,26.0B,typo_unit_suffix_injected,typos,medium
139,Fare,79.2,79.2O,typo_zero_as_letter_O,typos,medium
854,Fare,26.0,26.0O,typo_unit_suffix_injected,typos,medium
539,Fare,49.5,49.5O,typo_unit_suffix_injected,typos,medium
88,Fare,263.0,263.0B,typo_unit_suffix_injected,typos,medium
846,Fare,69.55,69.55€,typo_unit_suffix_injected,typos,medium
237,Fare,26.25,26.2kg5,typo_letter_inside_number,typos,medium
15,Fare,16.0,16.0kg,typo_unit_suffix_injected,typos,medium
103,Fare,8.6542,8.6542O,typo_zero_as_letter_O,typos,medium
327,Fare,13.0,13.O,typo_zero_as_letter_O,typos,medium
413,Fare,0.0,0j.0,typo_letter_inside_number,typos,medium
373,Fare,135.6333,135.6333O,typo_zero_as_letter_O,typos,medium
628,Fare,7.8958,7.8958O,typo_zero_as_letter_O,typos,medium
352,Fare,7.2292,7.2292B,typo_unit_suffix_injected,typos,medium
359,Fare,7.8792,7.8792kg,typo_unit_suffix_injected,typos,medium
123,Fare,13.0,1j3.0,typo_letter_inside_number,typos,medium
20,Fare,26.0,26€.0,typo_letter_inside_number,typos,medium
503,Fare,9.5875,9.587kg5,typo_letter_inside_number,typos,medium
685,Fare,41.5792,41.5792kg,typo_unit_suffix_injected,typos,medium
722,Fare,13.0,13l.0,typo_letter_inside_number,typos,medium
429,Fare,8.05,8.O5,typo_zero_as_letter_O,typos,medium
400,Fare,7.925,7.925O,typo_zero_as_letter_O,typos,medium
765,Fare,77.9583,77.9583O,typo_zero_as_letter_O,typos,medium
103,Age,33.0,33j.0,typo_letter_inside_number,typos,medium
372,Age,19.0,19.O,typo_zero_as_letter_O,typos,medium
117,Age,29.0,29.0O,typo_unit_suffix_injected,typos,medium
21,Age,34.0,34.O,typo_zero_as_letter_O,typos,medium
682,Age,unknown,unklnown,typo_letter_inside_number,typos,medium
316,Age,24.0,24.0€,typo_unit_suffix_injected,typos,medium
541,Age,9.0,9.0l,typo_unit_suffix_injected,typos,medium
587,Age,60.0,6O0.0,typo_letter_inside_number,typos,medium
315,Age,26.0,26S.0,typo_letter_inside_number,typos,medium
590,Age, , B,typo_unit_suffix_injected,typos,medium
546,Age,19.0,19.O,typo_zero_as_letter_O,typos,medium
38,Age,18.0,18€.0,typo_letter_inside_number,typos,medium
841,Age,16.0,16.O,typo_zero_as_letter_O,typos,medium
608,Age,22.0,22l.0,typo_letter_inside_number,typos,medium
788,Age,1.0,1.0S,typo_unit_suffix_injected,typos,medium
476,Age,34.0,34.0€,typo_unit_suffix_injected,typos,medium
390,Age,36.0,36.O,typo_zero_as_letter_O,typos,medium
837,Age,NA,NA€,typo_unit_suffix_injected,typos,medium
713,Age,29.0,29.O,typo_zero_as_letter_O,typos,medium
4,Age,35.0,35.0l,typo_unit_suffix_injected,typos,medium
100,Age,28.0,28B.0,typo_letter_inside_number,typos,medium
802,Age,11.0,11.0j,typo_unit_suffix_injected,typos,medium
360,Age,40.0,4O.0,typo_zero_as_letter_O,typos,medium
104,Age,37.0,37.O,typo_zero_as_letter_O,typos,medium
407,Age,3.0,3.O,typo_zero_as_letter_O,typos,medium
875,Age,15.0,15.O,typo_zero_as_letter_O,typos,medium
94,Age,59.0,59.0€,typo_unit_suffix_injected,typos,medium
458,Age,50.0,50.0kg,typo_unit_suffix_injected,typos,medium
644,Age,0.75,0.75S,typo_unit_suffix_injected,typos,medium
592,Age,47.0,47.0j,typo_unit_suffix_injected,typos,medium
721,Age,17.0,17.0l,typo_unit_suffix_injected,typos,medium
10,Age,4.0,4.O,typo_zero_as_letter_O,typos,medium
456,Age,65.0,65.0j,typo_unit_suffix_injected,typos,medium
604,Age,35.0,35.O,typo_zero_as_letter_O,typos,medium
262,Age,52.0,52.O,typo_zero_as_letter_O,typos,medium
96,Age,71.0,71.0S,typo_unit_suffix_injected,typos,medium
884,Age,25.0,25.0B,typo_unit_suffix_injected,typos,medium
383,Age,35.0,35.O,typo_zero_as_letter_O,typos,medium
27,Age,19.0,19.0O,typo_unit_suffix_injected,typos,medium
686,Age,14.0,14.0S,typo_unit_suffix_injected,typos,medium
449,Age,52.0,52€.0,typo_letter_inside_number,typos,medium
70,Age,32.0,32.0€,typo_unit_suffix_injected,typos,medium
887,Age, , €,typo_unit_suffix_injected,typos,medium
397,Age,46.0,46.O,typo_zero_as_letter_O,typos,medium
800,Age,34.0,34.0kg,typo_unit_suffix_injected,typos,medium
145,Age,19.0,19.O,typo_zero_as_letter_O,typos,medium
745,Age,70.0,70.0B,typo_unit_suffix_injected,typos,medium
400,Age,39.0,39.0€,typo_unit_suffix_injected,typos,medium
769,Age,32.0,32S.0,typo_letter_inside_number,typos,medium
342,Age,28.0,28kg.0,typo_letter_inside_number,typos,medium
603,Age,44.0,44.O,typo_zero_as_letter_O,typos,medium
105,Age,,j,typo_letter_inside_number,typos,medium
255,Age,29.0,29B.0,typo_letter_inside_number,typos,medium
273,Age,37.0,3l7.0,typo_letter_inside_number,typos,medium
